frame, face_id, timestamp, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
57,0,1.869,-0.059,0.392,0.175,1.23,0,0.18,0,0,0,0.71,0.38,0,0.01,0,2.06,0.42,0.5,0,0,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
58,0,1.902,-0.06,0.392,0.176,1.22,0,0.16,0,0,0,0.73,0.41,0,0.01,0,2.05,0.41,0.49,0,0,0.06,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
59,0,1.935,-0.061,0.392,0.175,1.17,0,0.17,0,0,0,0.71,0.4,0,0,0,1.98,0.36,0.48,0,0,0.13,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
60,0,1.969,-0.061,0.393,0.175,1.18,0,0.17,0,0,0,0.69,0.45,0,0,0,2.12,0.33,0.48,0,0.2,0.12,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
61,0,2.002,-0.063,0.392,0.175,1.2,0,0.2,0,0,0,0.67,0.47,0,0,0,2.26,0.31,0.47,0,0.36,0.08,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
62,0,2.035,-0.063,0.392,0.174,1.23,0,0.2,0,0,0,0.66,0.49,0,0.04,0,2.4,0.26,0.47,0,0.52,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
63,0,2.069,-0.062,0.393,0.174,1.21,0,0.19,0,0,0,0.67,0.46,0,0.04,0,2.38,0.26,0.46,0,0.56,0.04,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
64,0,2.102,-0.062,0.392,0.173,1.16,0,0.2,0,0,0,0.67,0.46,0,0.09,0,2.38,0.27,0.44,0,0.51,0.08,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
65,0,2.135,-0.062,0.392,0.174,1.12,0,0.2,0,0,0,0.67,0.47,0,0.05,0,2.41,0.32,0.44,0,0.51,0.12,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
66,0,2.169,-0.063,0.394,0.174,1.12,0,0.21,0,0,0,0.69,0.5,0,0.05,0,2.38,0.28,0.48,0,0.33,0.08,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
67,0,2.202,-0.064,0.391,0.173,1.16,0,0.22,0,0,0,0.7,0.5,0,0,0,2.31,0.25,0.48,0,0.31,0.04,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
68,0,2.236,-0.065,0.393,0.174,1.2,0,0.23,0,0,0,0.7,0.48,0,0.01,0,2.27,0.19,0.52,0,0.34,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
69,0,2.269,-0.065,0.392,0.172,1.23,0,0.25,0,0,0,0.68,0.49,0,0.03,0,2.25,0.22,0.5,0,0.4,0.02,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
70,0,2.302,-0.064,0.391,0.172,1.2,0,0.27,0,0,0,0.64,0.44,0,0.06,0,2.26,0.25,0.51,0,0.37,0.09,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
71,0,2.336,-0.063,0.394,0.174,1.16,0,0.28,0,0,0,0.63,0.4,0,0.06,0,2.27,0.3,0.48,0,0.35,0.1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
72,0,2.369,-0.064,0.391,0.173,1.13,0,0.25,0,0,0,0.61,0.41,0,0.16,0,2.27,0.32,0.44,0,0.23,0.12,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
73,0,2.402,-0.063,0.391,0.172,1.11,0,0.22,0,0,0,0.62,0.47,0,0.2,0,2.31,0.35,0.46,0,0.21,0.06,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
74,0,2.436,-0.064,0.39,0.173,1.12,0,0.23,0,0,0,0.63,0.49,0,0.22,0,2.27,0.27,0.47,0,0.08,0.03,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
75,0,2.469,-0.065,0.389,0.173,1.15,0,0.25,0,0,0,0.64,0.46,0,0.15,0,2.22,0.25,0.48,0,0.08,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
76,0,2.503,-0.064,0.392,0.173,1.15,0,0.25,0,0,0,0.66,0.42,0,0.12,0,2.15,0.17,0.49,0,0.06,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
77,0,2.536,-0.063,0.39,0.171,1.15,0,0.21,0,0,0,0.69,0.39,0,0.13,0,2.15,0.22,0.47,0,0.03,0.05,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
78,0,2.569,-0.063,0.389,0.171,1.11,0,0.2,0,0,0,0.75,0.44,0,0.1,0,2.21,0.24,0.5,0,0.03,0.05,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
79,0,2.603,-0.065,0.39,0.172,1.18,0,0.21,0,0,0,0.78,0.48,0,0.07,0,2.25,0.29,0.47,0,0,0.04,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
80,0,2.636,-0.068,0.392,0.173,1.22,0,0.24,0,0,0,0.8,0.5,0,0.02,0,2.27,0.29,0.47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
81,0,2.669,-0.07,0.389,0.173,1.23,0,0.26,0,0,0,0.78,0.45,0,0,0,2.27,0.29,0.45,0,0.03,0.08,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
82,0,2.703,-0.07,0.388,0.172,1.14,0,0.2,0,0,0,0.76,0.47,0,0.03,0,2.25,0.27,0.46,0,0.05,0.11,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
83,0,2.736,-0.07,0.389,0.174,1.12,0,0.19,0,0,0,0.76,0.48,0,0.05,0,2.18,0.25,0.42,0,0.11,0.16,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
84,0,2.769,-0.069,0.389,0.175,1.1,0,0.19,0,0,0,0.77,0.48,0,0.05,0,2.08,0.18,0.41,0,0.19,0.14,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
85,0,2.803,-0.068,0.389,0.174,1.09,0,0.23,0,0,0,0.8,0.41,0,0.06,0,2,0.16,0.45,0,0.17,0.19,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
86,0,2.836,-0.069,0.388,0.173,1.07,0,0.22,0,0,0,0.77,0.37,0,0.04,0,1.97,0.18,0.47,0,0.17,0.23,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
87,0,2.87,-0.069,0.389,0.173,1.07,0,0.17,0,0,0,0.77,0.38,0,0.06,0,1.97,0.27,0.44,0,0.28,0.29,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
88,0,2.903,-0.068,0.391,0.174,1.09,0,0.17,0,0,0,0.78,0.4,0,0.01,0,2.03,0.31,0.43,0,0.46,0.23,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
89,0,2.936,-0.068,0.389,0.173,1.01,0,0.16,0,0,0,0.82,0.43,0,0.04,0,2.1,0.37,0.48,0,0.4,0.13,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
90,0,2.97,-0.07,0.388,0.173,0.95,0,0.12,0,0,0,0.81,0.38,0,0.03,0,2.11,0.35,0.55,0,0.25,0.05,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
91,0,3.003,-0.069,0.389,0.175,0.92,0,0.09,0,0,0,0.78,0.34,0,0.08,0,2.04,0.34,0.58,0,0.13,0.07,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
92,0,3.036,-0.068,0.389,0.175,1,0,0.11,0,0,0,0.73,0.34,0,0.11,0,1.91,0.26,0.52,0,0.26,0.08,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
93,0,3.07,-0.066,0.39,0.176,1.04,0,0.18,0,0,0,0.75,0.41,0,0.12,0,1.87,0.26,0.51,0,0.33,0.05,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
94,0,3.103,-0.067,0.389,0.176,1.09,0,0.22,0,0,0,0.79,0.44,0,0.15,0,1.9,0.28,0.49,0,0.29,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
95,0,3.136,-0.067,0.389,0.175,1.1,0,0.19,0,0,0,0.84,0.49,0,0.17,0,1.96,0.29,0.52,0,0.2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
96,0,3.17,-0.068,0.389,0.176,1.13,0,0.2,0,0,0,0.87,0.46,0,0.21,0,2.03,0.34,0.52,0,0.21,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
97,0,3.203,-0.069,0.388,0.175,1.14,0,0.2,0,0,0,0.91,0.44,0,0.12,0,2.01,0.33,0.51,0,0.32,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
98,0,3.237,-0.071,0.388,0.176,1.1,0,0.19,0,0,0,0.9,0.44,0,0.12,0,2.02,0.38,0.5,0,0.28,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
99,0,3.27,-0.071,0.387,0.176,1.1,0,0.15,0,0,0,0.92,0.51,0,0.07,0,2.03,0.35,0.48,0,0.13,0.04,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
100,0,3.303,-0.071,0.388,0.176,1.15,0,0.15,0,0,0,0.9,0.57,0,0.12,0,2.05,0.36,0.49,0,0,0.04,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
101,0,3.337,-0.074,0.387,0.176,1.2,0,0.16,0,0,0,0.89,0.56,0,0.16,0,2.08,0.4,0.49,0,0,0.04,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
102,0,3.37,-0.072,0.387,0.176,1.21,0,0.19,0,0,0,0.87,0.55,0,0.2,0,2.1,0.51,0.47,0,0.1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
103,0,3.403,-0.071,0.387,0.176,1.18,0,0.2,0,0,0,0.83,0.54,0,0.15,0,2.09,0.54,0.43,0,0.1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
104,0,3.437,-0.07,0.386,0.176,1.16,0,0.21,0,0,0,0.84,0.53,0,0.04,0,2.05,0.56,0.39,0,0.18,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
105,0,3.47,-0.07,0.387,0.176,1.11,0,0.19,0,0,0,0.84,0.48,0,0,0,2.04,0.44,0.42,0,0.07,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
106,0,3.504,-0.069,0.386,0.175,1.06,0,0.18,0,0,0,0.83,0.48,0,0,0,2.08,0.42,0.46,0,0.07,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
107,0,3.537,-0.072,0.386,0.175,1.12,0,0.22,0,0,0,0.8,0.5,0,0,0,2.19,0.36,0.51,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
108,0,3.57,-0.074,0.386,0.174,1.14,0,0.25,0,0,0,0.77,0.54,0,0.04,0,2.25,0.41,0.53,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
109,0,3.604,-0.075,0.384,0.175,1.16,0,0.26,0,0,0,0.74,0.56,0,0.09,0,2.23,0.47,0.54,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
110,0,3.637,-0.074,0.387,0.175,1.13,0,0.23,0,0,0,0.77,0.57,0,0.1,0,2.18,0.52,0.51,0,0.12,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
111,0,3.67,-0.075,0.387,0.175,1.14,0,0.25,0,0,0,0.77,0.59,0,0.06,0,2.11,0.54,0.47,0,0.23,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
112,0,3.704,-0.075,0.387,0.175,1.11,0,0.26,0,0,0,0.78,0.61,0,0.07,0,2.1,0.48,0.44,0,0.35,0.01,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
113,0,3.737,-0.073,0.386,0.174,1.09,0,0.22,0,0,0,0.75,0.57,0,0.1,0,2.04,0.46,0.42,0,0.32,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
114,0,3.77,-0.074,0.384,0.173,1.11,0,0.21,0,0,0,0.75,0.57,0,0.15,0,2.02,0.46,0.43,0,0.21,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
115,0,3.804,-0.073,0.386,0.174,1.09,0,0.19,0,0,0,0.72,0.57,0,0.17,0,2.01,0.48,0.45,0,0.09,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
116,0,3.837,-0.072,0.386,0.175,1.07,0,0.23,0,0,0,0.73,0.61,0,0.19,0,2.03,0.44,0.47,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
117,0,3.871,-0.073,0.387,0.175,1.03,0,0.25,0,0,0,0.76,0.57,0,0.19,0,2.02,0.41,0.46,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
118,0,3.904,-0.074,0.386,0.175,1.04,0,0.26,0,0,0,0.8,0.51,0,0.17,0,2.03,0.41,0.46,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
119,0,3.937,-0.074,0.385,0.175,1.06,0,0.29,0,0,0,0.82,0.43,0,0.12,0,2.02,0.48,0.48,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
120,0,3.971,-0.074,0.384,0.176,1.07,0,0.27,0,0,0,0.73,0.45,0,0.13,0,2.01,0.41,0.53,0,0.01,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
121,0,4.004,-0.077,0.383,0.174,1.1,0,0.29,0,0,0,0.63,0.49,0,0.13,0,2.04,0.34,0.55,0,0.01,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
